tmed,prec,tmin,tmax,velmedia,Year,Month,Day,hr,ID,Fire
12.0,1,9.8,14.1,7.2,2001.0,1.0,1.0,82.0,0.0,0.0
9.8,1,8.0,11.5,5.8,2001.0,1.0,2.0,82.0,0.0,0.0
11.8,1,9.2,14.4,7.8,2001.0,1.0,3.0,82.0,0.0,0.0
12.4,1,10.1,14.6,7.2,2001.0,1.0,4.0,82.0,0.0,0.0
12.4,1,8.3,16.4,9.7,2001.0,1.0,5.0,82.0,0.0,0.0
8.4,1,6.5,10.4,3.3,2001.0,1.0,6.0,82.0,0.0,0.0
7.6,1,4.6,10.5,3.6,2001.0,1.0,7.0,82.0,0.0,0.0
6.8,1,4.6,9.0,1.1,2001.0,1.0,8.0,82.0,0.0,0.0
10.4,1,7.2,13.5,8.6,2001.0,1.0,9.0,82.0,0.0,0.0
12.7,1,10.0,15.4,3.3,2001.0,1.0,10.0,82.0,0.0,0.0
11.4,0,9.0,13.7,2.8,2001.0,1.0,11.0,82.0,0.0,0.0
9.6,0,5.5,13.6,0.0,2001.0,1.0,12.0,82.0,0.0,0.0
7.6,0,3.8,11.4,3.1,2001.0,1.0,13.0,82.0,0.0,0.0
7.2,0,3.0,11.3,1.4,2001.0,1.0,14.0,82.0,0.0,0.0
6.0,1,1.8,10.2,1.7,2001.0,1.0,15.0,82.0,0.0,0.0
8.4,1,5.6,11.2,0.3,2001.0,1.0,16.0,82.0,0.0,0.0
7.8,1,4.0,11.6,3.6,2001.0,1.0,17.0,82.0,0.0,0.0
8.9,1,7.2,10.6,1.7,2001.0,1.0,18.0,82.0,0.0,0.0
10.5,0,8.4,12.6,4.7,2001.0,1.0,19.0,82.0,0.0,0.0
10.2,0,9.0,11.5,2.5,2001.0,1.0,20.0,82.0,0.0,0.0
11.5,1,9.3,13.7,6.4,2001.0,1.0,21.0,82.0,0.0,0.0
12.9,1,10.8,15.0,11.1,2001.0,1.0,22.0,82.0,0.0,0.0
14.8,1,12.2,17.5,10.0,2001.0,1.0,23.0,82.0,0.0,0.0
9.7,1,6.2,13.2,5.8,2001.0,1.0,24.0,82.0,0.0,0.0
7.5,1,5.0,10.0,3.9,2001.0,1.0,25.0,82.0,0.0,0.0
10.8,1,7.3,14.2,9.2,2001.0,1.0,26.0,82.0,0.0,0.0
