fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo,ts_20,w_rec,ts_10,ts_50,Year,Month,Day
2001-01-01,1387E,31.8(04),13.0,82.0,2.0,7.0,1.9,1017.1(31),13.0,1012.9,1000.4,7.3,17.5(23),12.2,0.0,0.0,0.0,33/31.9(28),9.0,18.0,20.0,3.0,27.0,1.8(15),105.0,2.0,2.0,603.0,240.3,25.0,2.0,17.0,0.0,9.0,0.0,10.0,12.7,0.0,981.8(01),24.0,,,,,,2001,1,1
2001-02-01,1387E,28.2(05),5.0,73.0,3.0,6.0,5.7,1022.9(19),5.0,1020.8,1008.3,5.6,20.6(11),12.5,0.0,0.0,8.0,24/25.3(05),4.0,15.0,53.0,1.0,11.0,-1.2(18),93.0,0.0,1.0,718.0,102.9,8.0,2.0,15.0,2.0,10.0,0.0,10.0,14.3,1.0,983.1(07),9.0,,,,,,2001,2,1
2001-03-01,1387E,45.4(02),21.0,80.0,0.0,6.0,2.3,1011.9(13),10.0,1007.8,995.6,9.7,18.7(23),14.4,0.0,0.0,0.0,24/22.5(22),10.0,10.0,20.0,0.0,29.0,3.7(01),120.0,1.0,2.0,701.0,273.0,29.0,1.0,18.0,0.0,9.0,0.0,12.6,15.4,0.0,966.1(02),27.0,,,,,,2001,3,1
2001-04-01,1387E,8.4(29),6.0,71.0,2.0,5.0,6.8,1019.6(08),7.0,1020.0,1007.6,7.9,22.0(01),12.2,0.0,0.0,4.0,20/19.4(03),0.0,20.0,50.0,0.0,18.0,3.0(20),104.0,0.0,2.0,924.0,51.7,16.0,2.0,16.0,0.0,11.1,0.0,11.8,15.8,0.0,991.8(23),13.0,,,,,,2001,4,1
2001-05-01,1387E,48.9(01),6.0,73.0,0.0,8.0,7.6,1012.7(28),1.0,1016.8,1004.6,9.8,25.6(27),15.1,0.0,0.0,5.0,06/16.9(02),2.0,20.0,51.0,0.0,10.0,4.5(06),125.0,1.0,2.0,902.0,90.2,10.0,1.0,12.0,0.0,11.4,0.0,14.1,18.4,1.0,989.5(14),7.0,,,,,,2001,5,1
2001-06-01,1387E,5.9(08),3.0,70.0,0.0,7.0,9.2,1016.1(17),1.0,1019.1,1007.0,13.2,30.3(19),16.8,2.0,0.0,9.0,27/16.4(15),0.0,18.0,60.0,0.0,9.0,7.4(11),146.0,0.0,1.0,1013.0,19.5,9.0,0.0,12.0,0.0,17.3,0.0,17.4,21.7,0.0,996.9(09),4.0,,,,,,2001,6,1
2001-07-01,1387E,28.8(13),7.0,77.0,0.0,9.0,6.5,1012.3(01),0.0,1017.9,1005.8,14.5,30.5(01),19.2,1.0,0.0,2.0,31/14.4(17),3.0,22.0,43.0,0.0,12.0,9.3(20),170.0,0.0,1.0,807.0,70.3,13.0,0.0,12.0,0.0,18.8,0.0,18.2,21.9,0.0,993.4(05),8.0,,,,,,2001,7,1
2001-08-01,1387E,13.0(27),6.0,77.0,0.0,13.0,8.0,1016.3(04),3.0,1017.7,1005.6,14.9,27.6(03),18.2,0.0,0.0,5.0,18/16.9(27),2.0,20.0,57.0,0.0,10.0,11.0(11),177.0,0.0,6.0,809.0,45.6,12.0,3.0,10.0,0.0,20.6,0.0,19.2,23.4,1.0,995.4(19),5.0,,,,,,2001,8,1
2001-09-01,1387E,18.9(22),3.0,71.0,0.0,8.0,7.6,1013.3(07),,1016.8,1004.7,12.5,25.3(05),17.4,0.0,0.0,11.0,,1.0,16.0,61.0,,5.0,6.8(19),145.0,0.0,3.0,938.0,36.6,5.0,1.0,12.0,0.0,18.6,0.0,17.2,21.9,0.0,992.3(28),5.0,,,,,,2001,9,1
2001-10-01,1387E,33.7(02),6.0,78.0,0.0,6.0,4.7,1019.2(31),7.0,1014.8,1002.7,12.3,25.0(12),18.5,0.0,0.0,2.0,30/24.2(07),5.0,23.0,43.0,0.0,18.0,8.0(11),147.0,1.0,1.0,773.0,134.5,18.0,0.0,12.0,0.0,15.8,0.0,16.2,20.0,0.0,983.3(18),14.0,,,,,,2001,10,1
2001-11-01,1387E,4.4(12),4.0,75.0,0.0,10.0,5.2,1019.2(01),1.0,1025.9,1013.3,6.1,18.7(02),11.7,0.0,0.0,3.0,04/20.0(09),0.0,23.0,53.0,0.0,9.0,1.0(22),98.0,0.0,4.0,561.0,15.4,9.0,0.0,10.0,0.0,11.3,0.0,10.3,14.4,0.0,1005.0(26),6.0,,,,,,2001,11,1
2001-12-01,1387E,12.8(01),6.0,74.0,0.0,7.0,4.5,1018.4(05),1.0,1021.8,1009.1,3.1,16.1(06),12.6,0.0,0.0,17.0,25/16.4(29),2.0,8.0,50.0,0.0,9.0,-4.7(25),84.0,0.0,3.0,439.0,35.9,7.0,0.0,8.0,13.0,9.0,0.0,7.7,12.2,0.0,996.2(30),5.0,,,,,,2001,12,1
2001-01-01,1387,36.9(04),21.0,77.0,3.0,4.0,1.7,1021.6(31),13.0,1012.6,1004.5,9.0,17.5(23),11.7,0.0,0.0,0.0,28/31.7(27),5.0,10.0,19.0,2.0,29.0,5.2(15),105.0,1.0,0.0,627.0,202.8,26.0,3.0,16.0,0.0,9.8,0.0,11.2,13.4,0.0,985.1(01),25.0,12378.0,10.7,397.0,10.4,11.2,2001,1,1
2001-02-01,1387,17.7(05),6.0,68.0,3.0,1.0,6.2,1027.0(19),7.0,1020.6,1012.4,8.4,21.0(11),13.5,0.0,0.0,7.0,29/25.3(27),4.0,15.0,58.0,1.0,12.0,2.6(26),94.0,0.0,0.0,636.0,84.9,9.0,1.0,13.0,0.0,9.6,0.0,11.6,14.9,0.0,987.0(07),9.0,28877.0,11.2,337.0,11.0,11.7,2001,2,1
2001-03-01,1387,49.3(02),25.0,77.0,0.0,0.0,2.7,1016.3(31),10.0,1007.7,999.7,10.8,20.0(23),15.0,0.0,0.0,0.0,21/24.2(21),9.0,6.0,23.0,0.0,29.0,5.2(01),120.0,1.0,1.0,651.0,262.3,29.0,2.0,15.0,0.0,10.0,0.0,13.4,15.9,0.0,969.8(02),26.0,27971.0,13.1,369.0,13.4,12.9,2001,3,1
2001-04-01,1387,10.4(29),8.0,70.0,2.0,3.0,6.5,1023.8(08),10.0,1019.8,1011.8,9.8,19.6(01),12.2,0.0,0.0,4.0,25/20.6(24),1.0,18.0,49.0,0.0,18.0,6.6(30),105.0,0.0,0.0,772.0,56.6,18.0,1.0,15.0,0.0,12.0,0.0,12.8,15.7,0.0,995.7(23),13.0,48092.0,14.2,383.0,14.5,14.3,2001,4,1
2001-05-01,1387,34.2(01),9.0,73.0,2.0,5.0,7.3,1015.9(28),2.0,1016.8,1008.8,11.6,25.2(27),15.5,0.0,0.0,3.0,35/18.1(02),2.0,19.0,50.0,0.0,9.0,6.6(01),124.0,1.0,3.0,749.0,73.0,8.0,1.0,12.0,0.0,12.4,0.0,14.7,17.8,0.0,993.7(14),7.0,65376.0,16.2,321.0,16.9,15.9,2001,5,1
2001-06-01,1387,7.0(26),7.0,72.0,0.0,5.0,9.2,1020.4(17),0.0,1019.2,1011.2,14.4,28.4(20),17.0,0.0,0.0,7.0,03/15.0(01),0.0,16.0,60.0,0.0,7.0,11.0(11),147.0,0.0,2.0,841.0,18.5,9.0,0.0,10.0,0.0,17.0,0.0,17.5,20.7,0.0,1001.8(09),5.0,75580.0,20.6,273.0,21.3,20.1,2001,6,1
2001-07-01,1387,38.6(13),12.0,78.0,0.0,5.0,6.8,1016.3(01),3.0,1017.9,1010.0,15.9,28.8(01),18.0,0.0,0.0,3.0,25/16.1(17),2.0,16.0,45.0,0.0,12.0,13.2(20),172.0,1.0,1.0,689.0,74.4,16.0,1.0,12.0,0.0,19.6,0.0,18.9,21.8,0.0,997.4(05),8.0,65491.0,21.7,301.0,22.2,21.4,2001,7,1
2001-08-01,1387,16.8(27),8.0,78.0,1.0,10.0,8.0,1018.8(04),3.0,1017.5,1009.7,16.5,26.4(11),19.0,0.0,0.0,4.0,12/16.4(27),3.0,19.0,58.0,0.0,11.0,14.0(04),179.0,0.0,0.0,696.0,59.8,11.0,4.0,9.0,0.0,19.6,0.0,19.7,22.8,0.0,999.0(19),7.0,59227.0,22.1,242.0,22.7,21.8,2001,8,1
2001-09-01,1387,31.1(22),5.0,71.0,0.0,4.0,8.0,1016.1(07),4.0,1016.2,1008.3,14.7,24.4(02),17.8,0.0,0.0,9.0,19/18.1(30),1.0,16.0,64.0,0.0,6.0,11.7(19),145.0,1.0,1.0,915.0,48.6,7.0,1.0,13.0,0.0,18.3,0.0,18.1,21.4,0.0,995.3(28),5.0,52980.0,19.7,321.0,19.8,20.1,2001,9,1
2001-10-01,1387,38.9(02),11.0,74.0,0.0,0.0,5.2,1031.0(31),6.0,1014.6,1006.7,14.2,26.1(12),18.4,0.0,0.0,1.0,22/24.2(07),4.0,19.0,47.0,0.0,15.0,10.5(04),147.0,2.0,0.0,755.0,138.2,18.0,3.0,12.0,0.0,17.4,0.0,17.4,20.6,0.0,987.1(18),13.0,29191.0,17.5,309.0,17.4,17.7,2001,10,1
