superficie,fecha,lat,lng,idprovincia,municipio,causa,time_ctrl,time_ext,personal,medios,gastos,perdidas,ema,indicativo,año,mes,dia,nombre,provincia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,Day_x,Year,Month,hr,tm_min,nt_30,w_racha,np_100,ta_min,e,Day_y,ID
471.0,2006-08-05,42.739458,-8.822374,15,lousame,5,1830,2075,79,10,,7776784.0,MONTE IROITE,1437O,2006.0,8.0,5.0,MONTE IROITE,A CORUÑA,685,20.3,0.0,12.8,27.8,21.0,12.5,29.2,5,2006,8,78.0,12.9,0.0,,,8.6,,1,5
477.75,2006-08-08,42.777547,-9.075976,15,muros,5,455,1725,45,5,,1323019.0,MONTE IROITE,1437O,2006.0,8.0,8.0,MONTE IROITE,A CORUÑA,685,19.1,0.0,14.9,23.3,21.0,12.5,29.2,8,2006,8,78.0,12.9,0.0,,,8.6,,1,5
222.0,2006-09-05,42.821208,-8.714818,15,rois,5,710,1670,107,16,,536372.0,PADRÓN,1473A,2006.0,9.0,5.0,PADRÓN,A CORUÑA,100,28.0,0.0,16.0,40.1,9.0,3.1,6.9,5,2006,9,69.0,14.2,6.0,99.0,4.0,7.9,152.0,1,6
1544.9,2006-08-06,42.528964,-8.478438,36,campo lameiro,6,960,2100,31,7,10500.0,6494747.0,PONTEVEDRA,1484C,2006.0,8.0,6.0,PONTEVEDRA,PONTEVEDRA,108,26.4,0.0,17.5,35.2,5.0,3.1,11.1,6,2006,8,61.0,15.8,13.0,36.0,3.0,11.6,165.0,1,14
834.3,2006-08-12,42.401757,-8.332789,36,"lama, a",5,1515,4275,23,9,10773.0,9113.0,PONTEVEDRA,1484C,2006.0,8.0,12.0,PONTEVEDRA,PONTEVEDRA,108,22.5,0.0,15.5,29.5,5.0,3.9,13.1,12,2006,8,61.0,15.8,13.0,36.0,3.0,11.6,165.0,1,14
195.0,2003-03-16,42.467646,-7.085108,32,vilamartín de valdeorras,5,1200,1420,49,8,,4044.0,A POBRA DE TRIVES,1631E,2003.0,3.0,16.0,A POBRA DE TRIVES,OURENSE,840,9.8,0.0,5.8,13.8,20.0,3.1,9.4,16,2003,3,80.0,3.3,0.0,,,,,1,10
280.0,2003-08-05,41.968512,-7.388564,32,verín,5,1350,1680,108,27,,727204.0,XINZO DE LIMIA,1735X,2003.0,8.0,5.0,XINZO DE LIMIA,OURENSE,616,24.0,0.0,13.3,34.7,14.0,1.9,15.3,5,2003,8,68.0,9.7,0.0,,,,,1,13
230.0,2003-08-12,42.29459,-7.712152,32,paderne de allariz,5,1075,1185,79,17,,31980.0,OURENSE,1690A,2003.0,8.0,12.0,OURENSE,OURENSE,143,30.1,1.8,20.6,39.6,20.0,1.7,12.8,12,2003,8,55.0,17.3,23.0,20.0,1.0,11.8,172.0,1,12
610.0,2005-08-20,42.126351,-7.949477,32,san cibrao das viñas,5,1440,1620,34,3,,,OURENSE,1690A,2005.0,8.0,20.0,OURENSE,OURENSE,143,19.6,0.0,11.0,28.2,6.0,1.7,10.0,20,2005,8,55.0,14.6,21.0,,0.0,10.4,166.0,1,12
600.0,2005-08-20,42.126351,-7.949477,32,"merca, a",5,2980,3325,110,15,,,OURENSE,1690A,2005.0,8.0,20.0,OURENSE,OURENSE,143,19.6,0.0,11.0,28.2,6.0,1.7,10.0,20,2005,8,55.0,14.6,21.0,,0.0,10.4,166.0,1,12
300.0,2009-03-22,42.012449,-7.775213,32,xinzo de limia,5,928,1405,49,8,,115637.0,XINZO DE LIMIA,1735X,2009.0,3.0,22.0,XINZO DE LIMIA,OURENSE,616,10.4,0.0,0.0,20.7,14.0,3.3,11.7,22,2009,3,61.0,2.3,0.0,5.0,0.0,-0.7,78.0,1,13
365.0,2009-09-29,42.53796,-8.059169,32,piñor,5,1249,1512,161,37,,0.0,O CARBALLIÑO,1700X,2009.0,9.0,29.0,O CARBALLIÑO,OURENSE,400,19.2,0.0,8.0,30.3,99.0,0.6,5.0,29,2009,9,59.0,8.9,16.0,3.0,0.0,3.6,127.0,1,11
314.0,2011-10-02,42.008758,-7.473927,32,monterrei,5,1704,5945,93,23,,518694.0,XINZO DE LIMIA,1735X,2011.0,10.0,2.0,XINZO DE LIMIA,OURENSE,616,20.7,0.0,11.3,30.1,17.0,1.9,8.1,2,2011,10,60.0,11.8,0.0,,,,,1,13
265.99,2011-10-15,42.349386,-8.246824,32,avión,5,4016,5731,145,17,,33570.0,O CARBALLIÑO,1700X,2011.0,10.0,15.0,O CARBALLIÑO,OURENSE,400,18.0,0.0,5.4,30.6,99.0,0.3,2.2,15,2011,10,63.0,6.7,11.0,28.0,4.0,1.6,109.0,1,11
978.62,2011-10-16,42.228988,-7.537062,32,maceda,5,2805,5458,96,22,,590295.0,OURENSE,1690A,2011.0,10.0,16.0,OURENSE,OURENSE,143,16.8,0.0,6.0,27.5,29.0,0.6,2.2,16,2011,10,63.0,8.0,10.0,18.0,4.0,3.1,119.0,1,12
245.7,2012-02-29,42.190195,-7.66209,32,xunqueira de ambía,5,538,577,36,13,,0.0,XINZO DE LIMIA,1735X,2012.0,2.0,29.0,XINZO DE LIMIA,OURENSE,616,9.8,0.0,-0.8,20.5,17.0,1.9,8.6,29,2012,2,81.0,1.1,0.0,,,,,1,13
210.56,2012-03-11,42.50603,-7.908369,32,vilamarín,5,659,1527,25,6,,0.0,OURENSE,1690A,2012.0,3.0,11.0,OURENSE,OURENSE,143,14.1,0.0,3.2,25.0,8.0,1.1,3.9,11,2012,3,57.0,3.9,0.0,14.0,0.0,-1.1,85.0,1,12
329.13,2013-08-11,42.382396,-7.161921,32,larouco,5,1611,4301,182,49,,353856.0,A POBRA DE TRIVES,1631E,2013.0,8.0,11.0,A POBRA DE TRIVES,OURENSE,840,23.9,0.0,14.7,33.1,28.0,1.7,8.6,11,2013,8,55.0,11.2,4.0,24.0,0.0,7.0,128.0,1,10
218.46,2013-08-18,42.489816,-7.922218,32,vilamarín,5,1387,3239,63,23,,758605.0,OURENSE,1690A,2013.0,8.0,18.0,OURENSE,OURENSE,143,25.4,0.0,16.4,34.5,32.0,1.9,6.9,18,2013,8,54.0,14.8,25.0,26.0,0.0,10.7,154.0,1,12
161.84,2013-08-20,42.201899,-7.428189,32,chandrexa de queixa,5,1153,1738,81,23,,,A POBRA DE TRIVES,1631E,2013.0,8.0,20.0,A POBRA DE TRIVES,OURENSE,840,23.0,0.0,12.6,33.5,8.0,1.7,6.1,20,2013,8,55.0,11.2,4.0,24.0,0.0,7.0,128.0,1,10
1155.6,2006-08-04,42.330908,-8.677547,36,vilaboa,6,10125,10560,125,23,149277.0,4667729.0,PONTEVEDRA INST.,1484C,2006.0,8.0,4.0,PONTEVEDRA,PONTEVEDRA,108,24.8,0.0,17.0,32.5,36.0,3.9,13.9,4,2006,8,61.0,15.8,13.0,36.0,3.0,11.6,165.0,1,14
168.8,2006-08-04,42.820564,-8.111326,36,agolada,6,450,705,28,2,5138.0,16848.0,PONTEVEDRA,1484C,2006.0,8.0,4.0,PONTEVEDRA,PONTEVEDRA,108,24.8,0.0,17.0,32.5,36.0,3.9,13.9,4,2006,8,61.0,15.8,13.0,36.0,3.0,11.6,165.0,1,14
262.0,2005-08-20,42.141456,-7.921443,32,vilar de barrio,6,845,1790,105,16,,,XINZO DE LIMIA,1735X,2005.0,8.0,20.0,XINZO DE LIMIA,OURENSE,616,13.4,0.0,3.4,23.4,3.0,3.1,11.1,20,2005,8,67.0,0.2,0.0,,,,,1,13
382.0,2005-08-22,42.286367,-7.897906,32,cualedro,6,1650,1660,35,6,,,XINZO DE LIMIA,1735X,2005.0,8.0,22.0,XINZO DE LIMIA,OURENSE,616,15.4,0.0,3.9,26.8,14.0,1.9,9.7,22,2005,8,67.0,0.2,0.0,,,,,1,13
150.75,2011-10-11,42.241094,-7.295289,32,manzaneda,6,2590,3820,74,6,,6351.0,A POBRA DE TRIVES,1631E,2011.0,10.0,11.0,A POBRA DE TRIVES,OURENSE,840,17.8,0.0,8.4,27.3,28.0,1.9,8.3,11,2011,10,59.0,10.5,0.0,,,,,1,10
3236.7,2011-10-13,42.228022,-7.290151,32,manzaneda,6,8814,12637,436,75,,0.0,A POBRA DE TRIVES,1631E,2011.0,10.0,13.0,A POBRA DE TRIVES,OURENSE,840,18.6,0.0,10.1,27.0,28.0,1.7,6.4,13,2011,10,59.0,10.5,0.0,,,,,1,10
1285.45,2011-10-18,42.250094,-7.237698,32,manzaneda,6,1928,5794,5,3,,0.0,A POBRA DE TRIVES,1631E,2011.0,10.0,18.0,A POBRA DE TRIVES,OURENSE,840,14.2,0.0,6.9,21.5,28.0,1.9,10.3,18,2011,10,59.0,10.5,0.0,,,,,1,10
238.0,2011-10-18,42.224114,-7.342929,32,chandrexa de queixa,6,415,2785,21,3,,0.0,A POBRA DE TRIVES,1631E,2011.0,10.0,18.0,A POBRA DE TRIVES,OURENSE,840,14.2,0.0,6.9,21.5,28.0,1.9,10.3,18,2011,10,59.0,10.5,0.0,,,,,1,10
1749.88,2012-08-10,42.392307,-6.990488,32,"barco de valdeorras, o",6,3015,4844,616,71,,2917693.0,A POBRA DE TRIVES,1631E,2012.0,8.0,10.0,A POBRA DE TRIVES,OURENSE,840,22.2,0.0,11.2,,29.0,2.2,11.7,10,2012,8,60.0,10.4,0.0,,,,121.0,1,10
