superficie,fecha,lat,lng,idprovincia,municipio,causa,time_ctrl,time_ext,personal,medios,gastos,perdidas,ema,id_ema,año,mes,dia
1.1,2001-04-13,42.758649,-8.917814,15,lousame,5,190,210,18,2,,234.0,MONTE IROITE,1437O,2001.0,4.0,13.0
1.7,2001-04-17,43.291593,-8.495562,15,arteixo,5,200,245,9,1,,2175.0,A CORUÑA AEROPUERTO,1387E,2001.0,4.0,17.0
1.4,2001-04-17,43.30714,-8.463079,15,arteixo,5,125,170,16,2,,541.0,A CORUÑA AEROPUERTO,1387E,2001.0,4.0,17.0
4.5,2001-05-19,43.204208,-8.088987,15,aranga,5,320,550,24,1,,5030.0,SANTIAGO AEROPUERTO,1428,2001.0,5.0,19.0
3.0,2001-05-22,43.297494,-8.395937,15,culleredo,5,285,325,24,2,,2692.0,A CORUÑA AEROPUERTO,1387E,2001.0,5.0,22.0
1.5,2001-05-27,43.057849,-8.094067,15,vilasantar,5,240,285,10,2,,2218.0,SANTIAGO AEROPUERTO,1428,2001.0,5.0,27.0
4.0,2001-06-01,43.594099,-8.130649,15,valdoviño,5,190,250,16,2,,3649.0,ESTACA DE BARES,1351,2001.0,6.0,1.0
1.15,2001-06-24,43.549187,-8.250286,15,ferrol,5,105,155,10,4,,1628.0,A CORUÑA,1387,2001.0,6.0,24.0
1.0,2001-06-24,42.76328,-8.74306,15,rois,5,70,190,33,1,,468.0,PADRÓN,1473A,2001.0,6.0,24.0
2.5,2001-06-24,42.797346,-8.681299,15,rois,5,155,190,2,2,,1700.0,PADRÓN,1473A,2001.0,6.0,24.0
1.0,2001-07-03,43.291593,-8.495562,15,arteixo,5,155,190,21,3,,3402.0,A CORUÑA AEROPUERTO,1387E,2001.0,7.0,3.0
4.0,2001-07-23,43.30714,-8.463079,15,arteixo,5,210,250,21,3,,6358.0,A CORUÑA AEROPUERTO,1387E,2001.0,7.0,23.0
3.0,2001-07-25,42.752862,-8.880832,15,lousame,5,230,255,23,5,,1214.0,MONTE IROITE,1437O,2001.0,7.0,25.0
1.4,2001-08-11,43.240732,-8.670253,15,carballo,5,140,245,22,4,,703.0,A CORUÑA AEROPUERTO,1387E,2001.0,8.0,11.0
1.0,2001-08-12,42.594598,-8.938422,15,"pobra do caramiñal, a",5,45,175,11,2,,1280.0,MONTE IROITE,1437O,2001.0,8.0,12.0
15.0,2001-08-12,42.786588,-8.648783,15,padrón,5,290,480,24,9,,30874.0,PADRÓN,1473A,2001.0,8.0,12.0
1.0,2001-08-12,42.594598,-8.938422,15,"pobra do caramiñal, a",5,45,75,8,0,,649.0,MONTE IROITE,1437O,2001.0,8.0,12.0
1.5,2001-08-15,43.229093,-8.256512,15,abegondo,5,160,175,13,2,,1587.0,A CORUÑA,1387,2001.0,8.0,15.0
2.0,2001-08-24,43.124887,-8.833016,15,coristanco,5,85,200,26,3,,1640.0,A CORUÑA AEROPUERTO,1387E,2001.0,8.0,24.0
2.0,2001-08-26,42.786588,-8.648783,15,padrón,5,130,160,16,3,,2530.0,PADRÓN,1473A,2001.0,8.0,26.0
4.0,2001-09-06,43.501867,-8.287932,15,ferrol,5,150,260,12,3,,5950.0,A CORUÑA,1387,2001.0,9.0,6.0
