tmed,probPrecipitacion,temperatura.minima,temperatura.maxima,viento,Day,Year,Month,humedadRelativa.minima,ID_y
11.5,0,9,14,0,21,2023,1,70,0
11.5,0,9,14,0,21,2023,1,70,1
10.0,0,7,13,0,22,2023,1,55,0
10.0,0,7,13,0,22,2023,1,55,1
8.5,0,6,11,10,23,2023,1,55,0
8.5,0,6,11,10,23,2023,1,55,1
9.5,0,7,12,25,24,2023,1,55,0
9.5,0,7,12,25,24,2023,1,55,1
10.0,1,8,12,25,25,2023,1,55,0
10.0,1,8,12,25,25,2023,1,55,1
10.0,0,7,13,0,21,2023,1,80,2
8.5,0,6,11,10,22,2023,1,50,2
8.0,0,6,10,20,23,2023,1,55,2
8.5,0,6,11,35,24,2023,1,65,2
8.5,0,7,10,35,25,2023,1,60,2
7.5,0,5,10,0,21,2023,1,80,3
5.5,0,2,9,10,22,2023,1,55,3
4.0,0,1,7,15,23,2023,1,65,3
6.0,1,5,7,25,24,2023,1,70,3
6.0,1,5,7,20,25,2023,1,65,3
10.0,0,8,12,0,21,2023,1,75,4
9.5,0,7,12,10,22,2023,1,55,4
8.0,0,6,10,20,23,2023,1,55,4
8.0,0,6,10,30,24,2023,1,70,4
8.5,0,7,10,30,25,2023,1,65,4
11.5,0,7,16,0,21,2023,1,65,5
9.0,0,5,13,10,22,2023,1,40,5
7.5,0,4,11,20,23,2023,1,45,5
8.5,0,5,12,30,24,2023,1,60,5
8.5,0,5,12,25,25,2023,1,65,5
10.0,0,5,15,0,21,2023,1,80,6
7.0,0,2,12,10,22,2023,1,45,6
5.5,0,1,10,20,23,2023,1,55,6
7.0,0,3,11,30,24,2023,1,60,6
7.5,0,4,11,25,25,2023,1,65,6
9.5,0,5,14,0,21,2023,1,80,7
9.5,0,5,14,0,21,2023,1,80,8
7.0,0,3,11,10,22,2023,1,45,7
7.0,0,3,11,10,22,2023,1,45,8
6.0,0,2,10,20,23,2023,1,55,7
6.0,0,2,10,20,23,2023,1,55,8
6.5,0,3,10,25,24,2023,1,65,7
6.5,0,3,10,25,24,2023,1,65,8
7.5,0,5,10,25,25,2023,1,65,7
7.5,0,5,10,25,25,2023,1,65,8
7.5,0,3,12,0,21,2023,1,75,9
4.0,0,-1,9,10,22,2023,1,50,9
2.5,0,-2,7,20,23,2023,1,60,9
4.0,1,1,7,25,24,2023,1,70,9
4.5,0,2,7,20,25,2023,1,70,9
6.5,0,2,11,0,21,2023,1,75,10
3.0,0,-2,8,5,22,2023,1,35,10
2.5,0,-2,7,0,23,2023,1,35,10
2.0,0,-3,7,0,24,2023,1,55,10
2.5,0,-2,7,0,25,2023,1,60,10
9.0,0,4,14,0,21,2023,1,70,11
5.5,0,1,10,5,22,2023,1,40,11
4.0,0,-1,9,5,23,2023,1,50,11
4.5,0,0,9,15,24,2023,1,60,11
4.5,0,0,9,20,25,2023,1,70,11
10.5,0,5,16,0,21,2023,1,75,12
6.5,0,1,12,5,22,2023,1,40,12
5.0,0,-1,11,10,23,2023,1,45,12
6.0,0,1,11,20,24,2023,1,50,12
6.0,0,0,12,15,25,2023,1,65,12
5.5,0,1,10,0,21,2023,1,90,13
2.0,0,-3,7,0,22,2023,1,55,13
1.0,0,-4,6,0,23,2023,1,50,13
1.5,0,-4,7,15,24,2023,1,60,13
1.0,0,-4,6,0,25,2023,1,65,13
11.5,0,7,16,0,21,2023,1,70,14
8.5,0,4,13,0,22,2023,1,40,14
7.0,0,2,12,10,23,2023,1,50,14
8.0,0,4,12,20,24,2023,1,55,14
8.0,0,3,13,20,25,2023,1,60,14
11.0,0,7,15,0,21,2023,1,70,15
9.0,0,5,13,5,22,2023,1,45,15
8.0,0,4,12,0,23,2023,1,40,15
8.0,0,4,12,10,24,2023,1,55,15
8.5,0,4,13,15,25,2023,1,65,15
