tmed,probPrecipitacion,temperatura.minima,temperatura.maxima,viento,Day,Year,Month,humedadRelativa.minima,ID_y
9.5,1,8,11,20,27,2023,1,77.5,0
9.0,1,7,11,20,28,2023,1,72.5,0
9.5,0,7,12,20,29,2023,1,70.0,0
9.0,0,5,13,0,30,2023,1,75.0,0
9.5,1,8,11,20,27,2023,1,77.5,14
9.0,1,7,11,20,28,2023,1,72.5,14
9.5,0,7,12,20,29,2023,1,70.0,14
9.0,0,5,13,0,30,2023,1,75.0,14
9.0,1,7,11,20,27,2023,1,80.0,14
8.0,1,6,10,20,28,2023,1,80.0,14
8.0,0,6,10,30,29,2023,1,67.5,14
7.0,0,3,11,20,30,2023,1,70.0,14
5.5,1,4,7,15,27,2023,1,87.5,14
5.0,1,3,7,15,28,2023,1,82.5,14
5.5,1,4,7,25,29,2023,1,75.0,14
5.5,0,2,9,15,30,2023,1,80.0,14
8.0,1,6,10,20,27,2023,1,80.0,14
8.0,1,6,10,20,28,2023,1,80.0,14
7.5,0,5,10,30,29,2023,1,72.5,14
7.5,0,4,11,15,30,2023,1,72.5,14
9.5,0,6,13,20,27,2023,1,70.0,14
8.5,0,5,12,20,28,2023,1,70.0,14
8.0,0,4,12,25,29,2023,1,70.0,14
7.0,0,2,12,10,30,2023,1,67.5,14
8.0,0,4,12,15,27,2023,1,75.0,14
7.0,0,3,11,15,28,2023,1,72.5,14
7.0,0,2,12,25,29,2023,1,72.5,14
5.5,0,-1,12,10,30,2023,1,70.0,14
7.5,1,5,10,15,27,2023,1,80.0,14
6.5,1,3,10,20,28,2023,1,75.0,14
6.0,0,2,10,25,29,2023,1,75.0,14
6.5,0,1,12,10,30,2023,1,75.0,14
7.5,1,5,10,15,27,2023,1,80.0,14
6.5,1,3,10,20,28,2023,1,75.0,14
6.0,0,2,10,25,29,2023,1,75.0,14
6.5,0,1,12,10,30,2023,1,75.0,14
5.0,1,3,7,5,27,2023,1,92.5,14
4.0,1,1,7,15,28,2023,1,85.0,14
4.0,0,0,8,20,29,2023,1,80.0,14
3.5,0,-3,10,0,30,2023,1,75.0,14
3.0,1,-1,7,10,27,2023,1,77.5,14
2.5,0,-2,7,5,28,2023,1,80.0,14
1.5,0,-4,7,5,29,2023,1,77.5,14
3.0,0,-2,8,0,30,2023,1,57.5,14
6.0,0,2,10,15,27,2023,1,82.5,14
4.5,0,0,9,15,28,2023,1,77.5,14
4.0,0,-2,10,10,29,2023,1,77.5,14
3.5,0,-3,10,0,30,2023,1,72.5,14
7.0,1,2,12,15,27,2023,1,77.5,14
6.0,0,1,11,15,28,2023,1,72.5,14
5.5,0,-1,12,10,29,2023,1,70.0,14
5.0,0,-2,12,0,30,2023,1,65.0,14
2.0,1,-2,6,20,27,2023,1,87.5,14
1.5,0,-4,7,15,28,2023,1,87.5,14
0.0,0,-6,6,0,29,2023,1,77.5,14
1.5,0,-4,7,10,30,2023,1,70.0,14
9.0,0,5,13,15,27,2023,1,75.0,14
7.5,0,3,12,15,28,2023,1,70.0,14
7.0,0,1,13,15,29,2023,1,65.0,14
6.0,0,0,12,0,30,2023,1,67.5,14
9.0,0,6,12,20,27,2023,1,70.0,14
8.0,0,4,12,10,28,2023,1,65.0,14
7.0,0,2,12,10,29,2023,1,70.0,14
6.5,0,2,11,0,30,2023,1,75.0,14
