Año,Número de siniestros,Hectáreas quemadas
1969,1558,53719
1970,3450,90457
1971,1718,35044
1972,2194,57753
1973,3932,96989
1974,4088,142115
1975,4340,188595
1976,4577,123577
1977,2221,70749
1978,8471,439526
1979,7222,273567
1980,7190,263017
1981,10878,298288
1982,6545,152903
1983,4880,108100
1984,7649,165119
1985,12238,484476
1986,7570,264887
1987,8679,146662
1988,9595,137734
1989,20811,426693
1990,12913,203032
1991,13531,260318
1992,15955,105277
1993,14254,89267
1994,19263,437635
1995,25827,143484
1996,16771,59814
1997,22320,98503
1998,22446,133643
1999,18237,82217
2000,24118,188586
2001,19547,93297
2002,19929,107464
2003,18616,148172
2004,21396,134193
2005,25492,188672
2006,16334,155363
2007,10936,86113
2008,11655,50321
2009,15643,119892
2010,11722,54769
2011,16414,102161
2012,15997,218956
2013,10797,61690
2014,9806,48717
2015,11810,109782
2016,8817,59378
2017,13793,16690
2018,7143,25162
2019,10883,73796
