"Año";"Periodo";"Hectáreas quemadas"
"1961";"Año";"46.251"
"1962";"Año";"55.482"
"1963";"Año";"22.679"
"1964";"Año";"31.398"
"1965";"Año";"38.018"
"1966";"Año";"49.354"
"1967";"Año";"76.575"
"1968";"Año";"55.702"
"1969";"Año";"53.171,6"
"1970";"Año";"87.438,5"
"1971";"Año";"34.312,4"
"1972";"Año";"55.920,1"
"1973";"Año";"95.072,5"
"1974";"Año";"139.927,5"
"1975";"Año";"180.136,9"
"1976";"Año";"121.514,1"
"1977";"Año";"68.870,9"
"1978";"Año";"424.957,9"
"1979";"Año";"197.655,05"
"1980";"Año";"261.514,8"
"1981";"Año";"291.417,1"
"1982";"Año";"149.077,1"
"1983";"Año";"107.551"
"1984";"Año";"164.166,1"
"1985";"Año";"484.475,2"
"1986";"Año";"264.787,4"
"1987";"Año";"147.340,4"
"1988";"Año";"137.272,6"
"1989";"Año";"407.122,1"
"1990";"Año";"203.641,4"
"1991";"Año";"260.303"
"1992";"Año";"105.277,6"
"1993";"Año";"89.331,1"
"1994";"Año";"437.602,5"
"1995";"Año";"141.082,17"
"1996";"Año";"58.919,27"
"1997";"Año";"98.503,17"
"1998";"Año";"132.892,34"
"1999";"Año";"81.680,67"
"2000";"Año";"187.567,06"
"2001";"Año";"93.297,54"
"2002";"Año";"107.464,05"
"2003";"Año";"148.172,47"
"2004";"Año";"134.192,64"
"2005";"Año";"188.697,49"
"2006";"Año";"155.344,83"
"2007";"Año";"86.122,03"
"2008";"Año";"50.322,09"
"2009";"Año";"120.094,21"
"2010";"Año";"54.769,88"
"2011";"Año";"102.161,33"
"2012";"Año";"218.956,59"
"2013";"Año";"61.690,61"
"2014";"Año";"48.717,83"
"2015";"Año";"109.782,85"
"2016";"Año";"68.121,05"
"2017";"Año";"178.482,38"
"2018";"Año";"23.911,89"
"2019";"Año";"84.060,89"
"2020";"Año";"65.923,08"
;;
;;
"Métrica":"Hectáreas quemadas"
"Fuente":"Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente"
"Clasificación":""
"Unidad":"Hectáreas afectadas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/hectareas-quemadas-incendios-forestales-espana/d04011b5-4a23-4425-ad44-fb2623305f88"
"Titulo":"Héctareas quemadas en incendios forestales en España"
"Subtitulo":""
